,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
254,"4,6",--,John Eyres,John A. CurtisEvan TylorPat Bermel,"Añade un argumento en tu idioma
A massacre survivor (A.J. Cook) studies serial killers under a famous expert (Bruce Payne), but her classmates soon start dying at the hands of a Jack the Ripper copycat.",1h 54min,"Ripper, llamada desde el infierno"
255,"5,1",--,Larry Fessenden,Larry Fessenden,"Añade un argumento en tu idioma
George is a high-strung professional photographer who is starting to unravel from the stress of his work with a Manhattan advertising agency. Needing some time away from the city, George, his wife Kim, and their son Miles head to upstate New York to take in the winter sights, though the drive up is hardly relaxing for any of them. George accidentally hits and severely... Leer todo",1h 31min,Escalofrío
256,"5,0",--,David Pujol,Roger DelmontDavid PujolEsteve Pujol,"Añade un argumento en tu idioma
After his parents' deaths in a car accident, orphan Simon goes to live with relative Maria Bayona in the Spanish countryside. He soon begins to suspect that Maria is practicing black magic.",1h 30min,La biblia negra
257,"5,0",--,Hervé Renoh,Hervé Renoh,"Añade un argumento en tu idioma
Four prisoners escape and seek refuge in a Cistercian monastery, where nothing is what it seems. Isolated from the rest of the world, begins a nightmare among the fugitives, willing to kill to protect their freedom and monks whose hostages.",1h 38min,Requiem
258,"7,0",65%,Takashi Miike,Sakichi SatoHideo Yamamoto,"Mientras el matón sadomasoquista de los yakuza, Kakihara, busca a su jefe desaparecido, se encuentra con Ichi, un asesino psicótico y reprimido que puede infligir niveles de dolor que Kakihara solo ha soñado lograr.",2h 9min,Ichi the Killer
259,"5,6",71%,J.T. Petty,J.T. Petty,"Añade un argumento en tu idioma
A man wanders into the woods in search of his cat and witnesses a murder.",1h 14min,Soft for Digging
260,"4,2",--,Richard Pepin,Richard Preston Jr.,"Añade un argumento en tu idioma
Six astronauts are infected by an alien organism.",1h 44min,Invasión oculta
261,"3,5",--,Scott Mabbutt,Scott MabbuttSean Manton,"Añade un argumento en tu idioma
Featuring Buffy The Vampire Slayer and Angelstar David Boreanaz in his first screen appearance! This anthology of comic horror tales follows a pair of snobby vampires, a psychotic mime and a killer reel of film that erases everyone who watches it!",1h 16min,The Macabre Pair of Shorts
262,"6,1",--,Nikos Nikolaidis,Nikos Nikolaidis,"Añade un argumento en tu idioma
Vera, Elsa, a man, and the great love that unites them. They grew up together but didn't get very far. Leaving behind a desolate world full of traps, they begin a hallucinogenic journey of tenderness and violence.",1h 50min,"Tha se do stin Kolasi, agapi mou"
263,"7,2",--,Adam Simon,Adam Simon,"Añade un argumento en tu idioma
An examination into the nature of 1960s-'70s horror films, the artists involved, and how they reflected contemporary society.",1h 13min,The American Nightmare
264,"4,1",--,Gregory Gieras,Gregory GierasD.B. Smith,"Añade un argumento en tu idioma
A madman terrorizes a female psychologist when they are accidently locked up in an abandoned asylum.",1h 23min,Oscuro Psiquiátrico
265,"6,2",--,Paul Sarossy,Neil CrossPeter Waddington,"Añade un argumento en tu idioma
A hitman falls in love with an old friend and starts questioning the meaning of life. In HD.",1h 38min,Mr In-Between
266,"4,5",23%,Greg Huson,Craig Donald CarlsonGreg Huson,"Añade un argumento en tu idioma
At an exclusive, secluded North American ski resort up on Mount Rocky Summit, brutal slashing, severing and beheading on a group of teenagers are taking place and are believed to be the work of a mysterious skier dressed in black.",1h 26min,Shredder
267,"3,7",--,Gary Jones,Jace AndersonBoaz DavidsonAdam Gierasch,"Añade un argumento en tu idioma
A criminal carrying stolen money and gold hijacks a plane that crashes in a Mexican swamp, where the survivors are terrorized by a giant crocodile.",1h 33min,Cocodrilo. Aguas sangrientas
268,"3,5",18%,Jonas Quastel,Jonas QuastelChris Lanning,"Harlan Knowles, billionaire and President of Bio-Comp Industries, heads up a team of experts in a quest to locate a company plane that disappeared over the remote forests of the Pacific Northwest.",1h 26min,The Untold
269,"2,8",17%,William Shatner,Maurice HurleyWilliam Shatner,Kate is dying. She wants reassurance that there is life elsewhere in the Universe. She and Andy go to the one place that may hold the answers to her questions. Alien lights have been seen. Alien ships have been sighted. If she could only come into contact with these foreign forces! The bizarre people who inhabit the area also play a role in Kate and Andy's quest. The ... Leer todo,1h 32min,Groom Lake
270,"3,4",--,Steve Akahoshi,Joel EisenbergBrandon Borbeck,"A tale of the underground gothic subculture as seen through the eyes of Fatal, a young female vampire. As a heroin addict, she embraced this dark lifestyle, she now knows she must break free from their depraved world.",1h 30min,Hollywood Vampyr
271,"4,5",--,Tommy Lee Wallace,Tommy Lee Wallace,Un cazador de vampiros y un sacerdote luchan contra una banda de muertos vivientes en México.,1h 34min,Vampiros: Los muertos
272,"5,4",5%,Jaume Balagueró,Jaume BalagueróFernando de FelipeMiguel Tejada-Flores,"Una adolescente se muda a una casa rural remota, y descubre que su nuevo hogar tiene un pasado horrible que amenaza con destruir a la familia.",1h 28min,Darkness
273,"3,6",--,Thomas J. Wright,Pavan Grover,A woman battles an unspeakable terror.,1h 48min,Cerco aterrador
274,"5,7",--,Micheal Bafaro,Micheal BafaroWarren Low,"Añade un argumento en tu idioma
Town barber Dexter Miles is surprised to overhear, while cutting the hair of police chief Vance Corgan, that the body of a woman he murdered a few days before has been recovered. He had hope that the body would not be found until spring.",1h 34min,The Barber (A Serial Killer)
275,"6,9",79%,Don Coscarelli,Joe R. LansdaleDon Coscarelli,"Elvis Presley y un ""JFK"" negro se quedan en una residencia de ancianos donde no pasa nada, hasta que llega una momia egipcia descarriada y le succiona las almas a los ancianos por el culo. Los dos deciden contraatacar.",1h 32min,Bubba Ho-tep
276,"5,5",70%,Marc Evans,David HiltonJames Watkins,"A cinco personas se les ofrece un millón de dólares por pasar seis meses juntos en una mansión aislada, con cámaras vigilando todos sus movimientos.",1h 35min,My little eye
277,"3,3",--,Kelly Sandefur,Jim Geoghan,"It's the attack of the killer, genetically-altered bats!",1h 34min,Murciélagos
278,"4,8",--,Robert Harmon,Brendan Hood,A psychology student finds all her childhood fears and phobias becoming real after a traumatic event.,1h 29min,Ellos
279,"5,5",45%,Andrzej Sekula,Sean HoodErnie BarbarashLauren McLaughlin,"Ocho extraños se despiertan sin recordar el porque, en una desafiante habitación con forma de cubo donde las leyes de la física no siempre aplican.",1h 34min,Cube 2: Hypercube
280,"4,3",--,Fabian Klatura,Frank AppenrothChris ForsterRainer Holtappels,"An armaments company is researching biological weapons, and some employees are infected with a psycho-drug.",1h 36min,Cleaner
281,"5,4",69%,Jim Van Bebber,Jim Van Bebber,"Añade un argumento en tu idioma
A dramatization of the horrific and notorious Manson Family Murders, in the form of super 8 home movies.",1h 35min,The Manson Family
282,"6,0",--,Takashi Shimizu,Takashi Shimizu,"Añade un argumento en tu idioma
On his request, the sensitive sister of a real estate agent visits a house he intends to sell, only to cross paths with its resident curse.",1h 16min,Ju-on 2
283,"6,9",--,Misumi Ran,Asia CarreraRei IgarashiMasayo Kurata,"Four stories, four thousand demon tentacles! These ladies of the Inmu series discover their innermost fears and desires in this series of B&D fantasies.",1h,Inmu
284,"3,2",--,Chuck Comisky,Shane BitterlingChuck ComiskyJustin Stanley,"The legendary Loch Ness Monster, terrorizes a lake in Scotland and Patrick Bergin comes out to kill it.",1h 36min,Terror en el Lago Ness
285,"5,6",62%,Eli Roth,Eli RothRandy Pearlstein,Cinco graduados universitarios alquilan una cabaña en el bosque y se convierte en víctimas de un horrible virus carnívoro.,1h 33min,Cabin Fever
286,"4,0",--,Fred Olen Ray,Fred Olen Ray,"Investigadores de fenómenos paranormales llegan a una escuela de niñas incendiada para comprobar si existen apariciones de fantasmas. Con sus gafas especiales ven que ellos tienen constantemente sexo lésbico, lo que pone a todos cachondos.",1h 11min,Thirteen Erotic Ghosts
287,"6,9",--,Shin'ya Tsukamoto,Shin'ya Tsukamoto,"Añade un argumento en tu idioma
A woman is being stalked by a stranger. His stalking turns to blackmail when he sends her copies of photos of her in an embarrassing position. Now he controls her and she has to do anything he says. Anything.",1h 17min,Rokugatsu no hebi
288,"2,7",15%,Douglas Schulze,Douglas Schulze,"Añade un argumento en tu idioma
Officer Gabe Goodman may be the last man on earth and must confront deadly dark angels.",1h 27min,Dark Heaven
289,"5,8",55%,Brian Yuzna,José Manuel GómezH.P. LovecraftMiguel Tejada-Flores,"Después de 13 años en prisión, un científico loco tiene una nueva oportunidad de experimentar con la llegada de un joven médico de la prisión, que secretamente espera aprender a reanimar a los muertos.",1h 36min,Beyond Re-Animator
