,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
106,"6,9",--,Claire Denis,Jean-Pol FargeauClaire Denis,"Añade un argumento en tu idioma
A serial killer terrorizes Paris at night, but that doesn't stop Daïga and Théo from meeting up, and falling in love.",1h 50min,No puedo dormir
107,"5,1",--,Yuri Zeltser,Kathryn NemeshDarren BlockMichael Schroeder,"Añade un argumento en tu idioma
A would-be actress uncovers horrifying files on other starlets.",1h 31min,El creador de juego
108,"7,4",--,John Sayles,Rosalie K. FryJohn Sayles,"La joven Fiona vive con sus abuelos en un pequeño pueblo de pescadores, donde participa activamente para desentrañar los misteriosos secretos.",1h 43min,El secreto de la isla de las focas
109,"6,7",--,John Irvin,Hugh Leonard,"En 1934, una viuda inglesa se traslada a Widows' Peak, Irlanda. Allí entabla amistad con otras viudas y con el hijo de una de ellas. La hostilidad aumenta entre ella y una solterona irlandesa.",1h 42min,El pico de las viudas
110,"6,4",--,Wes Craven,Wes Craven,"Una fuerza demoníaca ha escogido a Freddy Krueger como su portal hacia el mundo real, y Nancy intenta detenerlo una vez más.",1h 52min,La nueva pesadilla de Wes Craven
111,"5,7",--,Jim McBride,Arturo Pérez-ReverteMichael HirstJim McBride,"Mientras restaura un cuadro antiguo que muestra a una mujer y dos hombres jugando al ajedrez, Julia descubre un texto debajo de la pintura.",1h 43min,La tabla de Flandes
112,"6,6",--,David Carson,Gene RoddenberryRick BermanRonald D. Moore,"Con la ayuda del capitán Kirk, presuntamente muerto hace tiempo, el capitán Picard debe detener a un científico desquiciado dispuesto a asesinar a escala planetaria para entrar en una matriz espacial.",1h 58min,Star Trek: La próxima generación
113,"5,5",--,Deran Sarafian,David Twohy,A maverick skydiver and a former KGB agent team up to stop the Russian mafia from stealing gold.,1h 42min,Velocidad terminal
114,"6,3",--,Morten Kolstad,Lars BorgMorten Kolstad,"Añade un argumento en tu idioma
A night Ragnhild can't sleep due to a storm, she discovers a horse in distress. The horse runs away, and the days after she is told that the horse is not real, but an old saying. But Ragnhild knows what she have seen.",1h 46min,Villhesten
115,"7,1",--,John Carpenter,Michael De Luca,Un investigador de seguros sospecha del impacto que los libros de terror de cierto autor tienen en su audiencia.,1h 35min,En la boca del miedo
116,"7,1",83%,Michel Negroponte,Gabriel MorganMichel Negroponte,"Añade un argumento en tu idioma
Michel Negroponte, a documentary filmmaker, meets Maggie one day in Central Park. Maggie claims to be married to the god Jupiter and the daughter of actor Robert Ryan. Michel gets to know Maggie over the next couple of years, and attempts to use her often outlandish stories as clues to reconstruct her past.",1h 27min,Jupiter's Wife
117,"3,9",35%,Henry Cole,Tim SewellHenry Cole,"Antonia is a cute drug addict in London, who meets a nice motorbike courier. They get caught between a corrupt drug cop and a drug dealer.",1h 37min,Mad Dogs and Englishmen
118,"3,5",--,James Merendino,Megan HeathJames Merendino,"Añade un argumento en tu idioma
Traumatized after witnessing her jealous husband kill her adulterous lover and then himself, an unbalanced, nymphomaniac young woman finds herself stalked by an unknown assailant, but she cannot make anyone believe her desperate situation.",1h 35min,Jugando a morir
119,"4,9",--,David Madden,Steven Pressfield,"Añade un argumento en tu idioma
A psychiatrist asks one of her psychology students, an ex-police detective, to shadow her a few nights. She fears she has split personality and may have killed someone. The student has a crush on his cute teacher and says yes.",1h 42min,Vidas separadas
120,"6,6",--,Stephen Gyllenhaal,Graham SwiftPeter Prince,"En 1974, en Pittsburgh, un profesor de historia de secundaria le cuenta a su clase sobre sus experiencias como adolescente en Inglaterra durante la Segunda Guerra Mundial.",1h 35min,El país del agua
121,"2,3",--,Carlo U. Quinterio,Leo TichatToni Hirtreiter,"Añade un argumento en tu idioma
A young man on his way to Venice to deliver his book exposing the neo-Nazi movement is suddenly stalked by a stranger, trialed by a pack of wild dogs and nearly killed.",1h 38min,Tren nocturno a Venecia
122,"4,5",17%,Anna Campion,Anna Campion,"Añade un argumento en tu idioma
Seven teenagers retreat to a country house for the weekend to make their epic, an impossibly ambitious Celtic fantasy. As the making of the video drifts from playful hilarity to argument, frustrated ambition and accusation, intimate details seep into the script and the gap between fact and fiction closes, foreshadowing later events. When the group decides to lift the ... Leer todo",1h 48min,Loaded
123,"7,1",--,Ho Yim,Hing-Dong WongHo Yim,"Añade un argumento en tu idioma
Guan Jian wants to report the murder of his father who died 10 years ago. The alleged murderer whom Guan Jian accuses of the crime is his own mother.",1h 39min,Tian guo ni zi
124,"7,0",--,Friðrik Þór Friðriksson,Friðrik Þór FriðrikssonJim Stark,"Añade un argumento en tu idioma
A Japanese businessman travels to Iceland and has a series of misadventures while venturing to a remote area to perform a traditional burial ritual where his parents died several years back.",1h 23min,Fiebre helada
125,"7,4",--,Taylor Hackford,Stephen KingTony Gilroy,Una periodista de una gran ciudad viaja a un pequeño pueblo en el que su madre ha sido detenida por el asesinato de una anciana para la que trabaja como sirvienta.,2h 12min,Eclipse total (Dolores Claiborne)
126,"4,7",--,Marijan David Vajda,Thomas BrezinaMilan Dor,"Get set for the adventure of a lifetime when a ""dare"" leads four curious kids into a hair-raising investigation. While four friends meet at an old cemetery, they stumble over the grave of a famous magician. Things soon turn spooky as they're haunted by a cloaked stranger and mysterious voices begin erupting from the magician's grave. When they discover a magnificent s... Leer todo",1h 30min,Die Knickerbocker-Bande: Das sprechende Grab
127,"5,5",--,John-Paul Davidson,Patrick McGrathJohn-Paul Davidson,"Añade un argumento en tu idioma
Sir Hugo (Sir Alan Bates) is more interested in reconstructing dinosaur bones than in paying attention to his wife, Lady Harriet (Theresa Russell). He's not thrilled when daughter Cleo (Lena Headey) brings home her betrothed, Sidney (Steven Mackintosh), who aspires to be a poet. The new butler, Fledge (Sting), provides Lady Harriet with the attention she's been missin... Leer todo",1h 39min,Perverso
128,"6,6",75%,Jon Amiel,Ann BidermanDavid Madsen,Una psicóloga agorafóbica y una detective deben trabajar juntas para acabar con un asesino en serie que copia a asesinos en serie del pasado.,2h 3min,Copycat
129,"6,4",72%,Mario Martone,Elena FerranteMario Martone,"Añade un argumento en tu idioma
When an elderly woman dies--apparently happy but in curious circumstances--her daughter travels home to Naples for the funeral. Staying on, she tries to piece together her mother's recent life. In doing so she starts to confront childhood memories that shaped the family history.",1h 44min,L'amore molesto
130,"7,3",--,Jacques Rivette,Laurence CôteMarianne DenicourtNathalie Richard,"Añade un argumento en tu idioma
Adventures of three young women in a hot and lazy Paris in summer.",2h 49min,Alto bajo frágil
131,"5,6",--,Raymond De Felitta,Raymond De Felitta,"Añade un argumento en tu idioma
A society playboy with a taste for the lowlife is set up for exploitation by an unscrupulous undercover cop and his shadowy political masters.",1h 47min,Cafe Society
132,"6,8",--,Carl Franklin,Walter MosleyCarl Franklin,A un hombre afroamericano lo contratan para encontrar a una mujer y se ve envuelto en un escándalo de asesinatos políticos.,1h 42min,El demonio vestido de azul
133,"6,9",--,Spike Lee,Richard PriceSpike Lee,"Jóvenes traficantes de drogas en los proyectos de Brooklyn viven vidas duras y peligrosas, atrapados entre sus jefes y los detectives que intentan detenerlos.",2h 8min,Clockers (Camellos)
134,"7,9",95%,Mamoru Oshii,Shirow MasamuneKazunori Itô,Una agente de policía cíborg y su compañero persiguen a un misterioso y poderoso pirata informático conocido como el Titiritero por ser experto en infiltrarse en el sistema de otros cíborg para modificar su comportamiento.,1h 23min,Ghost in the Shell
135,"7,5",--,Claude Chabrol,Ruth RendellClaude ChabrolCaroline Eliacheff,"Una sirvienta recién contratada para una familia rica, se hace amiga de un empleado de la oficina de correos que la anima a rebelarse contra sus empleadores.",1h 51min,La ceremonia
