,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
475,5.1,10%,Carolyn Miller,Carolyn Miller,A young married couple encounters a stranger who threatens their marriage and their lives.,1h 25m,Under Still Waters
476,7.3,100%,Jeffrey Chernov,Mark Nassar,A human story unfolds when detectives aggravated by a major bust gone wrong are forced to deal with a tormented man thrown into the cage after urinating on the Mayor's limo. The explosive combination of character and situation balances intense drama with laugh out loud comedy.,1h 30m,A Line in the Sand
477,7.7,--,Patrick R. Blake,Chris Cobb,"A strip-off contest for $100,000 turns a small country town upside down, which causes chaos and conflict.",1h 30m,Make It Rain
478,7.1,--,Ellen Ongkeko-Marfil,Froi MedinaRody Vera,"Boses (Voices) is the story of a musician named Ariel who offers violin lessons to a child of the slums. Through the violin, the abused child Onyok is able to get back his voice from a mute, desensitized existence. A violin teacher and his student, a mute 7-year old abused child in a shelter, develop a friendship stemming from their love of music. Ariel discovers the ... Read all",1h 40m,Boses
479,--,--,Eric Battersby,Eric Battersby,"A white youth fights racism within his own family, while a single African-American mom in Cabrini Green struggles to give her two boys a better life. Their paths intersect on a hot summer day when racial tension reaches its boiling point.",1h 27m,Pyrite
480,--,--,Antonio Lowry Edward,Erick FermanJo-Ann PantojaBob Spears,A student learns about a gang/cult led by the Dean of Students at Long Beach University via a video of a torture murder caught on tape. The fight begins when they kidnap his girlfriend.,52m,Westside N 'Ja
481,7.0,--,Sarah McAnally,Sarah McAnally,"The story of a young woman, who in the process of going after her dream of singing, is led to change her relationship with her father through the wisdom of her quirky, elderly roommate.",1h 33m,The Fair
482,5.8,--,John Walsh,John Walsh,"Shortly before his death in 1547, the injured King Henry VIII is forced to take refuge a manor house closed for the season. While there, he must confront both his mortality and the ghosts of his past.",1h 49m,Monarch
483,5.4,--,Bob Rafelson,Dashiell HammettChristopher CanaanSteve Barancik,"While doing a friend a favor and searching for a runaway teenager, a police detective stumbles upon a bizarre band of criminals about to pull off a bank robbery.",1h 37m,No Good Deed
484,5.8,--,Mark Penney,Mark Penney,"Amy and David are two underachievers from suburbia. Amy has had a rough life raised by her neglectful drug addicted single mother. David has been raised in a more conventional family, but his lack of motivation has driven his father crazy. When Amy meets David it seems they both find what they are looking for. But when Amy gets pregnant, both Amy and David go through ... Read all",1h 17m,The Right Way
485,3.7,28%,Jim Wynorski,Jim WynorskiWilliam LangloisPaul A. Birkett,"When a hostage situation arises on a private plane with the daughter of a billionaire on board, Major John Masters (Antonio Sabato Jr.) teams up with Captain Williams (Michael Paré) to stop the terrorists and land the plane.",1h 28m,Crash Landing
486,6.8,82%,Richard Dutcher,Richard Dutcher,"The lives of a street preacher, an aspiring actress, a Mormon missionary, and a young gang banger intersect in this ensemble drama set in present-day Santa Monica, California.",2h 8m,States of Grace
