,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
121,7.8,--,Mario KambergDavid de Vos,Gene RoddenberryKenneth BillerRené Echevarria,"An attempt by some evil Klingons to kidnap visitors at the Las Vegas Hilton is foiled when the twenty-fourth century starship U.S.S. Enterprise NCC-1701-D transports them safely aboard. Taken to the bridge, the guests are told by Commander Riker that the Klingons' plan is to disrupt the future timeline. Riker orders Lieutenant Commander La Forge to take them through t... Read all",4m,Star Trek: The Experience - The Klingon Encounter
122,7.0,--,Michael Thomas Dunn,Michael Thomas Dunn,"In the dark of midnight, A young CIA Operative code-named Condor must fight to complete the most challenging mission of his career. The story begins when Condor receives a highly classified document that contains schematics for a new military prototype. His orders are clear: attempt to deliver the document at his scheduled rendezvous. However, the agency fears that se... Read all",--,Midnight Conflict
123,7.5,--,Jamie Payne,Joseph Miller,"In the trenches of the Western Front in 1915, a British army chaplain is forced to question his faith as he witnesses hundreds of Hindu soldiers risking their lives daily for the Empire.",26m,The Dance of Shiva
124,--,--,Jason Gerstein,Jason Gerstein,"A serious college student earns his tuition, not by working in the dining halls or local restaurants, but by being an assassin for hire.",14m,Freelance
125,5.9,15%,Michael A. Martinez,Michael A. Martinez,"Robin Hood is an outlaw who steals from the rich and gives to the Saxons in 12th century England. The Sheriff of Nottingham has other plans, however.",14m,Robin Hood
126,5.4,25%,Kieran Darcy-SmithNash Edgerton,Kieran Darcy-SmithJoel Edgerton,,26m,Bloodlock
127,6.6,11%,Ellory Elkayem,Ellory Elkayem,"A young woman battles against a series of giant spiders, spawned by toxic waste, in her new suburban home.",13m,Larger Than Life
128,7.8,--,François Baranger,François Baranger,"Alien crash lands on a planet, meets a pair of military men stationed on remote site; and unites with the humans to fight an even greater alien menace that has also crash landed with the alien.",14m,Antebios
129,8.4,--,Michael Kang,Michael KangBertrand Wang,When two sushi waiters are pushed to the limit... Only justice can be served.,--,A Waiter Tomorrow
130,8.3,--,Jesse V. Johnson,Jesse V. Johnson,"In the near future, Death Row Inmates are afforded the opportunity to fight in a televised tournament to the death.",12m,Death Row the Tournament
131,6.2,--,Mads Larsen NielsenPeter Ørskov Madsen,Mads Larsen NielsenPeter Ørskov Madsen,"After receiving the pig a day too early, Al races through nightmarish worlds to escape the curse of the pig.",8m,The Day the Women Took Over or I Was a Teenage Neo-Impressionist
132,5.9,--,Lee Demarbre,Phil CaracasJosh GraceThetis Bernard,Add a plot,--,Harry Knuckles
133,--,--,Henry Hagerty,Henry Hagerty,"At the end of his rope, Jobe, a man committing suicide, is interupted by two car thieves who have stolen a baby as well. Now Jobe must decide between ending his own life or saving another one.",7m,Easter Clearing
134,--,--,Fabian Charles,Fabian Charles,,--,Tout le monde peut se tromper
135,6.9,--,Ross Boyask,Ross BoyaskP.l Hobden,A mysterious briefcase... 5 gangsters... one room... this is going to be one hell of a night!,30m,Fixing to Blow
136,5.9,57%,Ross Boyask,Ross BoyaskP.l Hobden,"When his dojo is overtaken by a vicious gang of drug deals, the Lone Wolf has no choice but to rage a bloody war against those responsible!",15m,Lone Wolf
137,--,--,Marcus Dillistone,Marcus Dillistone,Add a plot,--,Lights
138,--,--,Chris Cosgrave,Chris CosgraveJim Zito,,22m,Hands Like Suitcases
139,6.4,--,Jeb Wilson,Joe Manganiello,"A psychotic Russian terrorist bent on restoring communism to his mother land, sides with a vengeful Irish weapons dealer in the hope of stealing the blueprints for a nuclear satellite from an unsuspecting American University. The future of the free world lies in the hands of a lowly campus fast food restaurant worker.",28m,Out of Courage 2: Out for Vengeance
140,7.1,--,Richard HatchJay Woelfel,Richard HatchSophie LaPorte,A short preview produced by Su-Shan Productions which promotes a potential sequel film to the original Battlestar Galactica television series.,4m,Battlestar Galactica: The Second Coming
141,8.8,--,Kenn Scott,Michael GregoryJoseph D. ReitmanNick Vallelonga,A mysterious young man decides to take on the most dangerous job in town.,15m,Better Never Than Late
142,--,--,Andrés Navia,Andrés Navia,An act of violence leads to an ill-conceived rescue operation in this film about the civilian costs of Colombia's guerrilla war.,19m,Semillas
143,7.0,--,Sheldon Serkin,Randall Cole,,17m,Anderson Unbound
144,4.4,--,Janosch Orlowsky,Janosch Orlowsky,,8m,Als es Nacht wurde in Deutschland
145,5.7,--,Peter Mether,Kevin J. AndersonDerek CurtisWarren Duxbury,"Set two days before the events of Episode IV, Jedi Mara Jade has received a copy of the Death Star plans, which she must somehow get to the rebel forces. Unfortunately, she is being held prisoner by the Empire, and only two rebel soldiers, Zev and Klaus, can save her. As if breaking into an Imperial prison and getting the plans wasn't hard enough, bounty hunter Boba F... Read all",35m,The Dark Redemption
146,6.7,46%,Alexandre Ciolek,Alexandre CiolekRenan DelarocheAlain Le Navenec,,--,Clown
147,--,--,Ludovic Beun,Ludovic Beun,,30m,Kurrel & Co.
148,5.8,--,Jalmari Helander,Jalmari HelanderJorma Tommila,Add a plot,10m,Maxmillian Tarzan
149,7.3,--,Marc Lempert,Marc Lempert,,--,Ugly People in LA
150,--,--,Marcus Dillistone,Marcus Dillistone,An evocation of The King's Troop Royal Horse Artillery,15m,The Troop
151,--,--,Olivier Hourton,Olivier Hourton,,6m,La proie
