,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
57,6.3,61%,Joan Micklin Silver,Frank MugaveroMark GoddardMelissa Goddard,"A girl fed up with her quirky, disfunctional family runs away from home, causing all of them to spend time with each other.",1h 36m,Big Girls Don't Cry... They Get Even
58,6.2,--,Ben Lewin,Marcel AyméBen Lewin,"A farce, Hoskins plays a photographer who specializes in religious pictures who searches for a model for Jesus. He does a favor for a friend and finds himself doing a voice track for a porno movie with Natasha Richardson. Hoskins finds his model for Jesus in Jeff Goldblum and a romantic triangle begins in which Goldblum finds adoring crowds believing him to be Jesus a... Read all",1h 29m,"The Favour, the Watch and the Very Big Fish"
59,7.0,--,Greg WatkinsCaveh Zahedi,Greg WatkinsCaveh Zahedi,"Caveh is a neurotic film student who has recently begun therapy. His therapist tells him that his biggest problem is that he sees everything in black and white and that what he needs to do is to learn to dwell with uncertainty. Caveh is nothing if not sincere and so he resolves to try his best to change. He meets Erin, an art student, in an elevator and feels immediat... Read all",1h 26m,A Little Stiff
60,4.8,53%,Jim Wynorski,Mark Thomas McGeeJ.B. Rogers,"While doing the inventory for a lingerie outlet in a high rise office building, five attractive women are terrorised by a series of bizarre killings. They suspect that the strange janitor, who witnessed another series of killings years back, is at the bottom of the whole thing. Little do they know the real horror that they face in the end.",1h 17m,Hard to Die
61,4.8,22%,Willard Carroll,Mark E. RogersWillard Carroll,"A Norse runestone is discovered in Western Pennsylvania. The prophecy upon it tells of the Norse great wolf Fenrir (Fenris), and that its release from the stone will bring about Ragnarok --- the end of the world. Archaeologist Sam Stewart and wife Marla find it has some connection to their friend Martin. A young boy named Jacob is haunted by terrifying nightmares of w... Read all",1h 45m,The Runestone
62,7.1,43%,Naoto Takenaka,Toshiharu MaruuchiYoshiharu Tsuge,"Sukezo, a former manga comic artist, takes up the art rock business by setting up a shop in a shed by the river. He tries hard to be successful, but business does not go well and the family becomes progressively poorer.",1h 47m,Nowhere Man
63,5.7,--,Adam Rifkin,Adam Rifkin,"A man pursues stand-up comedy encouraged by his fellow garbage man. Though his friend, who accompanies him on accordion, continues to tell him how great he is, he actually stinks. When the ""comedian"" grows a third arm out of his back, the friend uses this twist to get him signed up with a sleazy talent agent, and it begins to look like his career is on the move, even ... Read all",1h 41m,The Man with Three Arms
64,5.4,--,Amos Poe,Amos Poe,"The Levys, a glamorous couple, used to make their living robbing golfers, until they met their fatal handicap. Years later, scriptwriter Remy Gravelle decides to observe the Levy progeny as they sail endlessly round Manhattan in their luxury yacht.",1h 25m,Triple Bogey on a Par Five Hole
65,6.4,50%,Rafal Zielinski,Jim FisherJim StaahlEthan Reiff,Two insurance investigators try to uncover the truth about the murder of their colleague and friend. Their findings lead them to some dark truths about the company they work for and the people they believed to be friends.,1h 26m,Under Surveillance
66,5.8,--,Berit Nesheim,Torun Lian,"Frida, aged 13, has discovered a book by psychoanalyst Erich Fromm called ""The art of loving"". Using it as a reference she sets out to better the love lives of her family and friends. But love works in mysterious ways...",1h 53m,Frida - med hjertet i hånden
67,6.2,60%,Barry Shils,Joseph Minion,"A ten year-old boy runs away from his abusive parents, steals a Mustang, and a pursues a promotional card game sold at gas stations.",1h 30m,Motorama
68,5.9,30%,Arthur Hiller,Janet Kovalcik,3 unlike couples get to know each other thru a committee at a private NYC school.,1h 52m,Married to It
69,6.7,77%,József Gémes,Robin LyonsGeorge MacDonald,"A naive princess, her beloved cat and a poor mining boy team up to save their kingdom from a nasty underground realm of bad-mannered goblins.",1h 22m,The Princess and the Goblin
