,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
58,"4,3",--,Jean-Pierre Sentier,Christian PereiraJean-Pierre Sentier,"Añade un argumento en tu idioma
Emile Michel, Lapland, orphan, is obliged to bring back within the tribe the ancestral totem: a gold plumb line ""borrowed"" formerly by his grandfather Raymond Michel. His quest will take him aboard a floating boat that crosses Baffin Bay in the icy waters of Greenland.",1h 30min,Le coup suprême
59,--,--,Efren Jarlego,Gretchen BarrettoCesar MontanoRomnick Sarmenta,,--,Eh kasi bata
60,"2,4",0%,Michael Rissi,Vivian SchillingEric Parkinson,"Añade un argumento en tu idioma
Four teenagers are killed in a car accident. Two of the teenagers refuse to go with ""The Grim Reaper"" and a race between life and death ensues!",1h 34min,Soultaker
61,"3,6",42%,James H. Barden,James H. Barden,How would you react if Christ had re-appeared on earth today? Would man kind repeat their mistakes or accept? This movie is about a modernized 2nd coming of Christ. Instead of facing Romans there are different obstacles in these modern times that he'd have to face.,1h 37min,The Judas Project
62,"6,8",--,Nietzchka Keene,Jacob GrimmWilhelm GrimmNietzchka Keene,Dos hermanas abandonan su hogar is Islandia al ser su madre acusada de brujería. Una de ellas hechiza a un granjero para que les ofrezca protección.,1h 18min,Cuando fuimos brujas
63,"4,8",--,Willard Carroll,Mark E. RogersWillard Carroll,"A Norse runestone is discovered in Western Pennsylvania. The prophecy upon it tells of the Norse great wolf Fenrir (Fenris), and that its release from the stone will bring about Ragnarok --- the end of the world. Archaeologist Sam Stewart and wife Marla find it has some connection to their friend Martin. A young boy named Jacob is haunted by terrifying nightmares of w... Leer todo",1h 45min,La maldición de la piedra
64,"7,3",--,Maria de Medeiros,Luís Miguel CintraFernando Pessoa,"Three short stories by a great poet and esoterist, Fernando Pessoa, dealing with the themes of life, ascesis, and death - originally brought to the stage at the 1989 Avignon Festival: ""Diálogos no Jardim do Palácio"" (Dialogues in the Palace's Garden), ""Salomé, Sakyamuni"", and ""A Morte do Príncipe"" (The Prince's Death).",1h 2min,A Morte do Príncipe
65,"6,2",60%,Barry Shils,Joseph Minion,"Un niño de diez años huye de sus padres abusivos, roba un Mustang y persigue un juego de cartas promocionales.",1h 30min,Motorama
66,"6,7",--,József Gémes,Robin LyonsGeorge MacDonald,"A naive princess, her beloved cat and a poor mining boy team up to save their kingdom from a nasty underground realm of bad-mannered goblins.",1h 22min,La princesa y los duendes
67,"6,6",--,Robert Zemeckis,Martin DonovanDavid Koepp,Una mujer descubre que hay un tratamiento para la inmortalidad y lo ve como una oportunidad para dejar atrás a una rival.,1h 44min,La muerte os sienta tan bien
68,"7,4",--,Francis Ford Coppola,Bram StokerJames V. Hart,"El centenario vampiro conde Drácula llega a Inglaterra para seducir a la prometida del abogado Jonathan Harker, Mina Murray, y causar estragos en tierra extranjera.",2h 8min,Drácula de Bram Stoker
69,"7,5",--,Peter Jackson,Stephen SinclairFran WalshPeter Jackson,"La madre de un joven es mordida por un mono rata de Sumatra. Se enferma y muere, pero vuelve a la vida, matando y comiendo perros, enfermeras, amigos y vecinos.",1h 44min,Braindead: tu madre se ha comido a mi perro
70,"8,0",--,Ron ClementsJohn Musker,Ron ClementsJohn MuskerTed Elliott,"Un joven callejero de buen corazón y un gran visir hambriento de poder, luchan por una lámpara mágica que tiene el poder de hacer realidad los deseos más profundos.",1h 30min,Aladdín
71,"6,5",--,Bill Kroyer,Jim CoxDiana Young,"Los habitantes mágicos de una selva tropical luchan por salvar su hogar, que se ve amenazado por la explotación forestal y una fuerza de destrucción contaminante llamada Hexxus.",1h 16min,FernGully: las aventuras de Zak y Crysta
72,"7,7",--,Brian Henson,Charles DickensJerry Juhl,Los personajes de los Muppets cuentan su versión del clásico cuento de la redención de un viejo y amargo avaro en Nochebuena.,1h 25min,Los Teleñecos en Cuento de Navidad
73,"2,2",--,Mike Marvin,Mike Marvin,"Añade un argumento en tu idioma
The newest homeless man in Beverly Hills is two million years old, has spent most of his life in a bottle, and dresses funny even by California standards. But to the Hollywood hustler who found him, he's a chance at riches and true love.",1h 30min,Wishman
74,"5,4",36%,Albert BandCharles Band,Charles BandC. Courtney Joyner,"Un mal indescriptible quiere gobernar la Tierra, pero solo el misterioso hechicero Doctor Mordrid puede detenerlo.",1h 14min,Doctor Mordrid
75,"7,4",--,Mohsen Makhmalbaf,Mohsen Makhmalbaf,"Añade un argumento en tu idioma
An abstract retelling of the history of Film in Iran.",1h 32min,"Nassereddin Shah, Actor-e Cinema"
76,"6,6",--,Raúl Ruiz,Paul FontaineRaúl Ruiz,"Añade un argumento en tu idioma
Come to the Village of the Dogs, it's easy to find. Just follow the avenue of crutches and the prosthetic legs hanging from the trees. It's where the Virgin Mary keeps appearing in the sky, and the local Marquis' (Sir John Hurt's) hobby is burying people alive, sometimes rescued by Ellic (David Warner). Sometimes not.",1h 40min,El ojo que miente
77,"6,2",--,Peter Hyams,Tom S. ParkerJim JenneweinRichard Siegel,Un marido y una mujer son absorbidos por un televisor infernal y tienen que sobrevivir a una serie de versiones retorcidas de programas en los que se encuentran.,1h 28min,Permanezca en sintonía
78,"6,9",--,Aleksandr Sokurov,Yuriy Arabov,"Añade un argumento en tu idioma
A caretaker encounters Anton Chekov and spends a lonely night and day in his company.",1h 23min,Kamen
79,"7,1",84%,Sally Potter,Virginia WoolfWalter DonohueSally Potter,"Después de que la reina Isabel I le ordena no envejecer, un joven noble lucha con el amor y su lugar en el mundo.",1h 34min,Orlando
80,"5,8",--,Alejandro Jodorowsky,Berta Domínguez D.,"Añade un argumento en tu idioma
A petty crook in search of the clichéd pot of gold at the end of the rainbow hopes to cash in by befriending the heir to a huge fortune.",1h 27min,El ladrón del arcoiris
81,"5,2",--,Pablo Llorca,Pablo Llorca,Añade un argumento en tu idioma,1h 56min,Jardines colgantes
82,"7,0",--,Tom Tykwer,Tom TykwerChristiane Voss,"Añade un argumento en tu idioma
A woman is trying to escape from a depressing life position.",1h 46min,Mortalmente María
83,"7,3",--,Agnieszka Holland,Frances Hodgson BurnettCaroline Thompson,"Una niña que acaba de quedar huérfana es enviada a Inglaterra después de haber vivido en la India toda su vida. Una vez allí, comienza a explorar su nuevo entorno aparentemente aislado y sus secretos.",1h 41min,El jardín secreto
84,"7,2",--,Wim Wenders,Wim WendersUlrich ZiegerRichard Reitinger,Un grupo de ángeles observa con anhelo la vida de los seres humanos en la capital de Alemania.,2h 26min,"¡Tan lejos, tan cerca!"
85,"7,9",--,Henry Selick,Tim BurtonMichael McDowellCaroline Thompson,"Jack Skellington, el rey de la Ciudad de Halloween, descubre la Ciudad de la Navidad, pero sus intentos de llevar la Navidad a Halloween causan confusión.",1h 16min,Pesadilla antes de Navidad
86,"6,8",--,Barry Sonnenfeld,Charles AddamsPaul Rudnick,"La Familia Addams intenta rescatar a su amado tío Fétido de su nuevo amor, una viuda negra llamada Debbie.",1h 34min,La familia Addams: La tradición continúa
87,"8,0",--,Harold Ramis,Danny RubinHarold Ramis,Un hombre del tiempo revive inexplicablemente el mismo día una y otra vez.,1h 41min,Atrapado en el tiempo
88,"7,0",--,Jean-Marie Poiré,Christian ClavierJean-Marie Poiré,"Un caballero medieval y su sirviente piden a un mago familiar que los traslade al pasado para evitar el asesinato accidental de su suegro. En lugar de ello, acaban en el siglo XX.",1h 47min,Los visitantes
89,"4,6",--,Jeff Burr,Ivan ChachorniaConstantine ChachorniaAndrew Osborne,Unos adolescentes en busca de emociones resucitan a un demonio de su tumba y comienza un sangriento alboroto de venganza.,1h 28min,Pacto de sangre 2 - La maldición de la bruja
90,"7,1",--,Richard Williams,Richard WilliamsMargaret FrenchParker Bennett,"A lonely princess and a poor cobbler fall in love while trying to retrieve three magical orbs that were stolen by a bumbling thief, all while outwitting a powerful sorcerer as adventure and comedic pop culture references abound.",1h 39min,El ladrón de Bagdad
91,"5,2",--,Pedro Carvajal,Pedro Carvajal,"Al final de los 40, una niña se escapa del internado donde la tiene su padre para ir a reunirse con su madre, y tras un tiempo con ella descubre por qué se separaron sus padres.",1h 27min,El baile de las ánimas
92,"4,7",--,Aaron Norris,Ian RabinAnthony RidioBrent V. Friedman,"Two Chicago cops (Chuck Norris, Calvin Levels) investigate a murder until they encounter an ancient demon.",1h 35min,El mensajero del infierno
