,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
72,"4,8",--,Temístocles López,Temístocles López,"Añade un argumento en tu idioma
A series of unrelated amorous lovers are connected by a chain of desire.",1h 47min,Las cadenas del deseo
73,"6,9",--,Paul Michael Glaser,Tony Gilroy,A temperamental figure skater and an arrogant former hockey player attempt to win the Olympic Gold Medal as a figure skating pairs team.,1h 41min,Pasión por el triunfo
74,"5,5",63%,Tamra Davis,Matthew Bright,"Una adolescente descarriada (Drew Barrymor, ""Jamás besada"") asesina a su padrasto que abusó de ella sexualmente, ayuda a su amigo por correspondencia en prisión, ahora reformado, a salir libre por buen comportamiento y se da a la fuga.",1h 37min,Guncrazy
75,"5,1",18%,Nicole Conn,Nicole Conn,"Añade un argumento en tu idioma
Set in the lush Pacific Northwest, Claire of the Moon tells a timeless story of a woman's struggle as she awakens to new possibilities for love and intimacy.",1h 47min,Claire of the Moon
76,"5,5",--,Peter MacDonald,Damon Wayans,"A con man, seeking to gain the affections of a woman he saw entering an office building, aquires a job in the same building working for an executive who has plans to use his skills for more than just the workplace.",1h 29min,Más pelas
77,"6,4",--,Bigas Luna,Cuca CanalsBigas LunaQuim Monzó,"Una madre, que desaprueba la relación de su hija, contrata a un modelo de ropa interior, y extorero, para que la seduzca.",1h 35min,Jamón Jamón
78,"6,3",--,Steve Miner,J.J. Abrams,"Durante una prueba de criogenización, un piloto congelado en 1939 despierta en 1992, pero el tiempo se agota, ya que su cuerpo empieza a envejecer rápidamente.",1h 42min,Eternamente joven
79,"4,9",--,Randal Kleiser,Stuart GordonBrian YuznaEd Naha,"La familia Szalinski está de vuelta, pero esta vez un experimento hace que su hijo pequeño crezca varios pisos de altura.",1h 29min,"Cariño, he agrandado al niño"
80,"5,1",--,Joe D'Amato,Daniele Stroppa,"Añade un argumento en tu idioma
After years in prison, Jeff finally returns to his home town. Along the way he meets a beautiful girl. After a while he gets to the pharmacy owned by his brother, Gordon, who barely manages to hide from the unexpected surprise of the meeting. After some confusion Gordon offers Jeff to stay with him for a while. Gordon introduces his wife to Jeff. Linda was none other ... Leer todo",1h 25min,Flor de pasión
81,"7,0",83%,Guy Maddin,Guy MaddinGeorge Toles,"Añade un argumento en tu idioma
The wary residents of a 19th century mountain village must tread carefully and speak softly lest they cause an avalanche. Sexual frenzies teem in this world of repression, setting off incestuous love triangles with deadly consequences.",1h 40min,Careful
82,"4,7",--,Bob Rafelson,Carole Eastman,Un entrenador de perros guardia es chantajeado para robar un manuscrito de un libro revelador de uno de sus clientes.,1h 40min,Ella nunca se niega
83,"6,7",--,Louis Malle,David HareJosephine Hart,Un miembro del Parlamento se enamora apasionadamente de la prometida de su hijo a pesar de los peligros del descubrimiento.,1h 51min,Herida
84,"7,1",--,Alfonso Arau,Laura Esquivel,"Una joven no puede casarse con el hombre que ama, pero descubre que tiene una talento único para la cocina.",1h 45min,Como agua para chocolate
85,"5,6",37%,Ann Turner,Alan MarshallPeter HepworthAnn Turner,"Añade un argumento en tu idioma
This is the story of the crippled young Alan Marshall and his hero worship of the local he-man horse trainer East Driscoll, the schoolboy crush Alan has on the local aristocratic English beauty Grace McAlister and the affair that young Alan witnesses developing between Grace and East. Things inevitably take a turn towards the tragic when East becomes determined to for... Leer todo",1h 37min,Hammers Over the Anvil
86,"7,1",--,Silvio Soldini,Umberto MarinoSilvio SoldiniRoberto Tiraboschi,"Añade un argumento en tu idioma
Pietro Di Leo, security officer of a department store in Milan, where the girl he is dating also works as a make-up artist, is separated from his wife and with a son that he only sees on weekends. He is a very dissatisfied man, whose psychosomatic suffering (loss of nose bleeds, outbursts of anger, visions) reveals a situation of profound discomfort. One day, however,... Leer todo",2h 4min,Un'anima divisa in due
87,"5,2",--,Pablo Llorca,Pablo Llorca,Añade un argumento en tu idioma,1h 56min,Jardines colgantes
88,"7,1",75%,Claude Berri,Émile ZolaClaude BerriArlette Langmann,"A mediados del siglo XIX, los trabajadores de una ciudad minera de carbón son explotados por el propietario de la mina. Un día deciden ir a la huelga y son reprimidos por las autoridades.",2h 40min,Germinal
89,"7,2",--,Wim Wenders,Wim WendersUlrich ZiegerRichard Reitinger,Un grupo de ángeles observa con anhelo la vida de los seres humanos en la capital de Alemania.,2h 26min,"¡Tan lejos, tan cerca!"
90,"6,4",--,Dmitriy Meskhiev,Valeriy Todorovskiy,"Añade un argumento en tu idioma
Leningrad; 60th years; white nights. Walking on Neva Embankment, the charming provincial has met three friends: poet, artist and film director. And each of young people has suggested to marry him.",1h 35min,Nad temnoy vodoy
91,"7,2",--,Martin Scorsese,Edith WhartonJay CocksMartin Scorsese,"Una historia de la alta sociedad neoyorquina del siglo XIX, en la que un joven abogado se enamora de una mujer separada de su marido, mientras él está comprometido con la prima de ella.",2h 19min,La edad de la inocencia
92,"7,4",--,Tomás Gutiérrez AleaJuan Carlos Tabío,Tomás Gutiérrez AleaSenel Paz,"La historia de dos hombres que son completos opuestos: uno gay, el otro hetero; uno comunista, el otro individualista; uno desconfiado, el otro confiado; y de como llegan a quererse.",1h 48min,Fresa y chocolate
93,"6,0",--,Jens Becker,Jens Becker,,1h 29min,Adamski
94,"7,1",--,Julio Medem,Julio Medem,"Jota está a punto de suicidarse. Mientras lucha contra sí mismo, tratando de saltar de un puente, una chica en motocicleta se cae del puente.",1h 54min,La ardilla roja
95,"4,3",--,Gus Van Sant,Tom RobbinsGus Van Sant,"Sissy Hankshaw (Uma Thurman) is born with enormous thumbs that help her hitchhiking through the U.S. from a young age. She becomes a model in advertising, and her New York agent, ""the Countess"" (Sir John Hurt), sends her to his ranch in California to shoot a commercial, set against the background of mating whooping cranes. There, she befriends Bonanza Jellybean (Rain ... Leer todo",1h 46min,Ellas también se deprimen
96,"7,5",92%,Takeshi Kitano,Takeshi Kitano,Varios yakuza de Tokio son enviados a Okinawa para ayudar a poner fin a una guerra de pandillas. La guerra se intensifica y los corredores de Tokio deciden mantener un perfil bajo en la playa.,1h 34min,Sonatine
97,"8,0",--,Harold Ramis,Danny RubinHarold Ramis,Un hombre del tiempo revive inexplicablemente el mismo día una y otra vez.,1h 41min,Atrapado en el tiempo
98,"7,0",--,Donald Petrie,Mark Steven Johnson,Una disputa de toda la vida entre dos vecinos desde la infancia no hace más que empeorar cuando una nueva vecina se muda al otro lado de la calle.,1h 43min,Dos viejos gruñones
99,"6,2",--,Barry Sonnenfeld,Mark RosenthalLawrence Konner,"Doug es conserje en un hotel de lujo en Manhattan. Guarda sus propinas para su proyecto de hotel. Cuando un posible inversor seduce a la chica que ama, con falsas promesas de dejar a su esposa, Doug tendrá que tomar una decisión.",1h 36min,Conserje a su medida
100,--,--,Aleksandr Maryamov,Aleksandr Maryamov,Añade un argumento en tu idioma,1h 16min,Papashka i mem
101,"6,7",--,Paul Leduc,Jaime AvilésJosé Joaquín BlancoPaul Leduc,"Añade un argumento en tu idioma
A dancer who works in the seedy Salón Panamá falls in love with a smuggler who is followed by a corrupt policeman, when on December 20, 1989, the US army invades Panamá and thousands of innocent people are killed. Based on true facts.",1h 17min,Dollar Mambo
102,"7,5",--,Jon Jost,Jon Jost,"Añade un argumento en tu idioma
Ricky, a dim-witted ex-con, meets Beth, a dim-witted waitress, in an Idaho diner. They take off in his car to Washington and begin an affair. Beth, a lonely romance-novel addict, is hopelessly enamored; Ricky is just in it for the (constant) sex. Beth's longing to visit California and Ricky's longing for quick cash leads them into a desperate situation. Director Jost ... Leer todo",1h 31min,Frameup
103,"5,6",--,Ken Wiederhorn,David J. GreenbergMiguel Tejada-FloresKen Wiederhorn,"Una aspirante a actriz, que trabaja como camarera mientras le llega su oportunidad, acepta cuidar de una casa propiedad de una pareja adinerada en las afueras de Hollywood.",1h 35min,La casa de la colina
104,"6,5",--,Igor Minaiev,Jacques BaynacIgor MinaievBernard Stora,"Añade un argumento en tu idioma
This is 1920: Sophia and Trofim Ivanytch have been living on Vassilievski Island, which is part of Petrograd, for thirteen years. In their house, which looks like a ship wreck, the atmosphere is gloomy. Sophia cannot have children and she is aware that, because of that, she is likely to lose her husband. That is why, when their neighbor dies, she asks Trofim to take i... Leer todo",1h 39min,Navodneniye
105,"6,4",--,Gregg Araki,Gregg Araki,Six queer teenagers struggle to get along with each other and with life in the face of varying obstacles.,1h 18min,Totally F***ed Up
106,"4,8",--,Alex Graves,Alex Graves,"Añade un argumento en tu idioma
Lonely Kansas housewife Karen Webb despondent about her love life, her husband Jim Webb coldness and philandering, has a strong urge to change her future. Karen discovers the truth about Jim and sets out to commit suicide by carbon monoxide poisoning in her garage, but her three dollar daily allowance for gasoline runs out before she expires. During one of her gas sta... Leer todo",1h 21min,Entre el deseo y el destino
107,"6,6",--,Shuqin Huang,Min AnqiShuqin HuangZiyu Li,"Añade un argumento en tu idioma
A Chinese prostitute weds, studies painting, and becomes a renowned artist and professor in Paris.",2h 10min,Hua hun
108,"6,1",--,Beeban Kidron,Jeanette Winterson,"Añade un argumento en tu idioma
A young woman becomes involved with a man who not only may be an art thief, but a murderer.",1h 33min,Great Moments in Aviation
109,"6,3",--,Angela Pope,Frank Deasy,"Una hermosa joven dentista que trabaja en una dura prisión británica comienza a sentirse atraída por un recluso violento, después de la ruptura de su matrimonio.",1h 40min,Cautivos
110,"8,0",88%,Kar-Wai Wong,Kar-Wai Wong,"Dos policías melancólicos de Hong Kong se enamoran: uno, de una mujer misteriosa de los bajos fondos, y, el otro, de una preciosa camarera en un restaurante nocturno que frecuenta.",1h 42min,Chungking Express
111,"5,1",--,Dennis Hopper,Joe BatteerJohn RiceDan Gilroy,"Dos marines tienen que trasladar a un prisionero desde un centro de detención hasta una base. Lo que parecía una misión rutinaria acaba siendo una odisea, ya que el prisionero es una peligrosa mujer que intenta librarse de sus guardianes.",1h 42min,Misión explosiva
112,"4,1",--,Gene Hess,Gene Hess,"Añade un argumento en tu idioma
The secret longings of three young, hip L.A. couples provides the impetus of the conversations in lightweight drama which focuses upon the issue of commitment. One member of each couple, Suzanna and Dodger, Alicia and Robert, and Michelle and Charles secretly carries a torch for former lovers. It seems that while Suzanna begs for Dodger's attention, he is still attrac... Leer todo",1h 30min,No lo hagas
113,"7,1",73%,Mina Shum,Mina Shum,"Añade un argumento en tu idioma
East clashes with West and generations collide as a young Chinese woman struggles to appease her old-fashioned father, and at the same time pursue her modern dreams.",1h 27min,Double Happiness
114,"5,8",70%,Jeremy Podeswa,Jeremy Podeswa,"Añade un argumento en tu idioma
A round of unerotic sexual couplings in Toronto, interspersed with interviews about an impending total eclipse.",1h 35min,Eclipse
115,"7,0",--,Michel Spinosa,Michel SpinosaGilles Bourdos,"Añade un argumento en tu idioma
At the station buffet, two soldiers chat up Sophie. She does nothing to discourage them. On the contrary, she drags to a small hotel. But what a surprise for her to discover that the receptionist is Vincent, her former great love, that she has not seen for two years! They start a new affair together. Which will soon prove destructive...",1h 26min,Llévame
116,"6,3",--,Paul Cox,Paul CoxE.L. Grant Watson,"Añade un argumento en tu idioma
When Peter Costello is exiled to a deserted island for stealing sheep, Mary, a maid, decides to join him there.",1h 35min,Exile
